source,target,weight,verdict,reason
unemployment_rate,health_expenditure_pct,0.4723035080964086,CONFLICT,"Generally, higher unemployment rate does not lead to an increase in the percentage of health expenditure in South Asia. Contrarily, economic downturns associated with high unemployment rates might lead to a decrease in overall healthcare spending per capita due to reduced access and affordability."
agri_valueadded_pct,health_expenditure_pct,-7.059546205521454e-06,CONFLICT,"In South Asia, higher percentage of agriculture value-added is not generally associated with increased percentage of health expenditure due to the economic structure and prioritization of public spending on infrastructure and agriculture over healthcare."
urbanization_pct,health_expenditure_pct,-5.151063896025171e-06,CONFLICT,"Generally, rapid urbanization may increase healthcare costs due to infrastructure development and higher demand for services; however, a direct causal relationship between the urbanization rate (A) and percentage of health expenditure (B) might not be straightforward or consistent across all South Asian regions, as various factors such as government policies, income levels, and access to healthcare can influence this relationship."
mean_wbgt,agri_valueadded_pct,-1.9731527304945545e-05,CONFLICT,"In South Asia, higher WBGT generally negatively impacts agricultural productivity, which contradicts an increase in the percentage of agriculture value-added."
fossil_fuel_pct,agri_valueadded_pct,-5.85088617845149e-06,CONFLICT,"In South Asia, an increase in the percentage of fossil fuel share generally leads to a decrease in the percentage of agriculture value-added due to increased pollution and resource diversion from agriculture for energy production."
electricity_per_capita,agri_valueadded_pct,0.459354158338168,CONFLICT,"Generally, the growth in electricity consumption per capita is expected to be associated with industrialization and urbanization, not agriculture value-added in South Asia."
co2_per_capita,agri_valueadded_pct,0.0103357193527521,CONFLICT,"Generally, increased CO₂ emissions per capita would be expected to decrease the percentage of agriculture value-added due to environmental degradation and resource scarcity in South Asia. However, the causal relationship can also be influenced by factors such as technological advancements or policy interventions."
gdp_per_capita,agri_valueadded_pct,-0.9927948173927544,OK,"In South Asia, an increase in GDP per capita may lead to a rise in the percentage of agriculture value-added due to agricultural modernization and industrialization."
unemployment_rate,agri_valueadded_pct,0.1069470575856585,CONFLICT,"In South Asia, higher unemployment rate generally decreases the percentage of agriculture value-added, as labor shortage affects farming activities."
health_expenditure_pct,agri_valueadded_pct,-0.7145841058635163,CONFLICT,"In South Asia, generally higher percentage of agriculture value-added does not cause an increase in the percentage of health expenditure. Rather, lower agricultural output might lead to increased healthcare spending due to food insecurity and related issues."
urbanization_pct,agri_valueadded_pct,2.435988527567964e-05,CONFLICT,"In South Asia, increased urbanization (A) often leads to a decrease in the percentage of agriculture value-added (B), as urban areas typically have less agricultural activity and more industry or services."
mean_wbgt,urbanization_pct,-0.882441865587811,CONFLICT,"In South Asia, urbanization rate is not directly caused by mean Wet Bulb Globe Temperature (WBGT). Instead, climate change and other factors contribute to urbanization, which then impacts WBGT."
fossil_fuel_pct,urbanization_pct,2.6929714154796043e-05,CONFLICT,"In South Asia, higher urbanization rate is often associated with increased energy consumption, but fossil fuel share may not necessarily cause it directly due to the influence of other factors like energy policies and access to renewable sources."
co2_per_capita,urbanization_pct,-0.3701693691386428,CONFLICT,"In South Asia, urbanization rate generally increases with CO₂ emissions per capita, but the relationship is complex and influenced by factors such as economic development, infrastructure, and policies."
gdp_per_capita,urbanization_pct,-0.7193035012020264,OK,"In South Asia, higher GDP per capita often leads to increased urbanization rate due to economic development and migration to cities."
unemployment_rate,urbanization_pct,-1.0271483339136076,CONFLICT,"In South Asia, higher unemployment rate often leads to reduced urbanization due to lack of job opportunities in cities. However, the direction of causality can be complex as rural-urban migration might also increase when jobs are scarce in rural areas, leading to urbanization."
health_expenditure_pct,urbanization_pct,-0.9174938062713612,CONFLICT,"Generally, higher urbanization rates are associated with increased healthcare expenditure due to the concentration of population and services, so a positive effect of percentage of health expenditure on urbanization rate is unlikely in South Asia."
agri_valueadded_pct,urbanization_pct,0.6261590226307638,CONFLICT,"In South Asia, typically, higher urbanization rate is associated with a decrease in agricultural value-added, not an increase."
